user_id,avg_purchase_amount,purchase_frequency,days_since_last_purchase,total_purchases,category_preference_fashion,category_preference_electronics,category_preference_home,session_duration_avg,cart_abandonment_rate,discount_sensitivity,device_mobile_ratio,time_since_registration_days
1,46.92680899768591,4.494631635114325,28,6,0.2890419267932163,0.06643708449438052,0.36929336900860793,279.7976807472428,0.14394901059102136,0.4065390912142226,0.277419350807043,301
2,301.0121430917521,2.521212090160741,20,7,0.25918382366482046,0.47051950691689765,0.5033176269891865,205.20461340030656,0.17790595250886193,0.2557072301023114,0.16887992897824658,28
3,131.67456935454493,2.180565140153246,12,3,0.4666981589515156,0.7480457804500792,0.7788783617224431,289.8075470489259,0.651568987274787,0.6951347726769945,0.5569051573075346,33
4,91.29425537759532,4.19353634083005,25,5,0.6016184040215744,0.2510445683372621,0.6811874964883773,340.1214636869529,0.0752711070064998,0.2832193089111076,0.7220613411401413,9
5,16.962487046234628,4.280863017523902,5,5,0.36035790131087847,0.045498648087532255,0.555077783269779,269.4015477255125,0.054102431540005116,0.6840570825387681,0.5127116283262072,275
6,16.959629191460518,2.790867236708392,11,4,0.7413732686155424,0.4549165102597755,0.43732454176560664,368.16608180678367,0.2522878641065991,0.26649488481239486,0.8388189552182799,289
7,5.983876860868068,2.2262848437785383,25,5,0.44910727407563034,0.09812150403517725,0.7681545487327464,309.1879650771333,0.06758596279478869,0.20926500903270304,0.5159305686118009,100
8,201.12308644799396,1.4057219730582495,7,2,0.6163100426299464,0.48492999470695414,0.6785311096606316,353.5805691466994,0.07956116646365682,0.4809941295033371,0.5919071112852908,140
9,91.90821536272645,0.8149904890478131,4,6,0.9620077917502288,0.4306297626720188,0.5949008911500742,301.90172202494585,0.018638063447793115,0.6418021454022872,0.2309737783184565,86
10,123.12500617045903,2.6849980040094295,29,2,0.31780949202738984,0.04845058361633469,0.6288112801344302,340.27093890502874,0.19634108429142913,0.4070129415033235,0.786589751884814,300
11,2.0799307999138623,3.9003742614900023,14,3,0.5988363715518286,0.5227059062883752,0.32411777966774813,215.34443967268618,0.3540230312247331,0.27010344041422235,0.27064413699695994,127
12,350.3557475158312,4.872587452714537,26,3,0.5389691855098446,0.1519620664289106,0.6429473926844969,350.54760324685697,0.34224300658200413,0.392390715609103,0.6943136292188308,205
13,178.6429543354675,5.287348176420197,15,5,0.29592307116803296,0.1679275906572318,0.5534181916276563,300.3901647065618,0.0944566317137314,0.12164323721689707,0.7701873874225756,88
